Booth_No,Location,Zone,Type,UDF_2021,LDF_2021,T20_2021,NDA_2021,Total_2021,UDF_2024,LDF_2024,NDA_2024,Total_2024,Anti_Inc_Votes,Anti_Inc_Pct,Anti_Inc_Level,T20_to_NDA,T20_to_UDF,T20_Floating,T20_Impact,BDJS_Swing,Genuine_UDF_Growth,Turnout_Diff,UDF_Swing,LDF_Swing,Swing_Class,Total_Swing_Votes,Swing_Pct,Volatility
136,St George LPS W Mid Main,Chellanam,D,299,319,368,0,986,586,19,258,863,300,94.0,EXTREME,239,92,37,VERY HIGH,19,195,-123,287,-300,STRONG UDF SWING,810,82.2,EXTREME
137,St George LPS W Main,Chellanam,B,208,232,198,0,638,374,163,0,537,69,29.7,MODERATE,129,50,19,HIGH,0,116,-101,166,-69,STRONG UDF SWING,368,57.7,HIGH
138,Leo English Medium School,Chellanam,B,170,244,112,0,526,267,219,0,486,25,10.2,LOW,73,28,11,HIGH,0,69,-40,97,-25,UDF SWING,177,33.7,MODERATE
139,St Joseph LPS W Main,Kumbalangi,C,273,390,190,0,853,508,181,0,689,209,53.6,HIGH,124,48,18,HIGH,0,187,-164,235,-209,STRONG UDF SWING,563,66.0,EXTREME
140,St Joseph LPS Mid Main Kumbalangi,Kumbalangi,A,361,340,157,0,858,552,201,0,753,139,40.9,HIGH,102,39,16,HIGH,0,152,-105,191,-139,STRONG UDF SWING,401,46.7,HIGH
141,St Joseph LPS E Main Kumbalangi,Kumbalangi,B,291,359,135,0,785,437,245,0,682,114,31.8,MODERATE,88,34,13,HIGH,0,112,-103,146,-114,UDF SWING,352,44.8,HIGH
142,St Joseph LPS W Main Kumbalangi N,Kumbalangi,B,247,327,109,0,683,338,203,0,541,124,37.9,MODERATE,71,27,11,HIGH,0,64,-142,91,-124,UDF SWING,375,54.9,HIGH
143,Village Office Kumbalangi,Kumbalangi,B,328,395,149,0,872,512,219,0,731,176,44.6,HIGH,97,37,15,HIGH,0,147,-141,184,-176,STRONG UDF SWING,466,53.4,HIGH
144,VPYLPS Mid Main Illickal,Kumbalangi,B,396,484,173,0,1053,538,311,0,849,173,35.7,MODERATE,112,43,18,HIGH,0,99,-204,142,-173,UDF SWING,550,52.2,HIGH
145,St Peter HSS Mid Main Bldg,Kumbalangi,A,277,537,110,0,924,383,386,0,769,151,28.1,MODERATE,72,28,10,HIGH,0,78,-155,106,-151,UDF SWING,416,45.0,HIGH
146,St Peter HSS SW Bldg,Kumbalangi,A,408,362,208,0,978,579,215,0,794,147,40.6,HIGH,135,52,21,VERY HIGH,0,119,-184,171,-147,STRONG UDF SWING,539,55.1,HIGH
147,St Peter HSS NW Bldg,Kumbalangi,A,486,367,207,0,1060,729,230,0,959,137,37.3,MODERATE,135,52,20,VERY HIGH,0,191,-101,243,-137,STRONG UDF SWING,445,42.0,HIGH
148,St Peter HSS Mid N Bldg,Kumbalangi,B,387,402,157,0,946,516,264,0,780,138,34.3,MODERATE,102,39,16,HIGH,0,90,-166,129,-138,UDF SWING,461,48.7,HIGH
149,OLFGHS E Main Bldg,Kumbalangi,A,439,327,153,0,919,591,232,0,823,95,29.1,MODERATE,99,38,16,HIGH,0,114,-96,152,-95,STRONG UDF SWING,344,37.4,MODERATE
150,Govt UPS Mid Main Bldg,Kumbalangi,A,311,224,131,0,666,422,130,0,552,94,42.0,HIGH,85,33,13,HIGH,0,78,-114,111,-94,UDF SWING,339,50.9,HIGH
151,Govt UPS Kumbalangi N,Kumbalangi,B,403,450,191,0,1044,578,272,0,850,178,39.6,MODERATE,124,48,19,HIGH,0,127,-194,175,-178,STRONG UDF SWING,563,53.9,HIGH
152,Govt UPS Mid N Bldg,Kumbalangi,B,250,308,140,0,698,394,199,0,593,109,35.4,MODERATE,91,35,14,HIGH,0,109,-105,144,-109,UDF SWING,354,50.7,HIGH
153,St George LPS N Main Kumbalangi,Kumbalangi,A,338,343,178,0,859,462,223,0,685,120,35.0,MODERATE,116,44,18,HIGH,0,80,-174,124,-120,UDF SWING,472,54.9,HIGH
154,St George LPS S Main Kumbalangi,Kumbalangi,C,288,392,142,0,822,408,198,0,606,194,49.5,HIGH,92,36,14,HIGH,0,84,-216,120,-194,UDF SWING,552,67.2,EXTREME
155,St George UPS NW Bldg,Kumbalangi,A,358,285,157,0,800,457,204,0,661,81,28.4,MODERATE,102,39,16,HIGH,0,60,-139,99,-81,UDF SWING,377,47.1,HIGH
156,St George LPS Annex Mid,Kumbalangi,A,306,259,143,0,708,409,169,0,578,90,34.7,MODERATE,93,36,14,HIGH,0,67,-130,103,-90,UDF SWING,363,51.3,HIGH
157,St George UPS SW Bldg,Kumbalangi,A,388,343,165,0,896,558,157,0,715,186,54.2,HIGH,107,41,17,HIGH,0,129,-181,170,-186,STRONG UDF SWING,532,59.4,HIGH
